,Sermons,Dates,Description,Links
10,See His Love And Receive His Power ,21 July 2019,"“God loves you.” 


Don’t read that too quickly—believing those three words makes all the difference in receiving God’s power for your breakthroughs. Whether it’s a healing touch, provision, or wisdom for life’s challenges, learn why seeing God’s unwavering love for you will open the door to the miracles you need. 


In this sermon, Joseph Prince reveals from Scripture how seeing and depending on God’s deep love will cause you to:


Eradicate every fear from your life.

Effectively steward your God-given gifts.

Receive healing, restoration, and provision for you and your family.

See His abundant supply surge into every area of need.


Beloved, get ready for God’s power to flow like a mighty flood when you see His desire to release all of heaven’s resources into your life!",https://www.josephprince.com/sermons/see-his-love-and-receive-his-power?sku=20190721VJ
11,Prosper Through Prophetic Preaching ,30 June 2019,"Need a personal word from the Lord for your situation? Then listen to the preached Word! Follow Joseph Prince as he unpacks the power of prophetic preaching. Through an engaging study of the menorah in the Old Testament tabernacle, you’ll learn how listening to preaching that places Jesus at the center of your life will cause you to:


Receive healing and restoration for your body.
Be led by the Spirit daily and see your family and work life flourish.
Discover your calling and assignment from God.
Overcome discouragement and find new strength.


Allow prophetic preaching to turn your eyes upon Jesus and find all your needs met in Him!",https://www.josephprince.com/sermons/prosper-through-prophetic-preaching?sku=20190630VJ
12,The Truth About Tithing Under Grace ,26 May 2019,"What does the Bible really say about tithing under grace? Is it still relevant for believers under the new covenant? 


Join Joseph Prince as he delves into Scripture and reveals to you the truth about tithing in our day and age. In this revelatory message, get answers to these commonly asked questions about tithing and provision, such as:


Is there still a need to tithe if we’re under grace? Isn’t tithing a principle under the law?
Why should I tithe to my local church? What does the Bible say about it?
Does the teaching of provision in the body of Christ lead to materialism?


It’s time to let God’s Word, not man’s opinions, shed light into this often-debated topic and give you a revelation for tithing under grace today!",https://www.josephprince.com/sermons/the-truth-about-tithing-under-grace?sku=20190526VJ
13,Believe Right And See Your Youth Renewed ,12 May 2019,"People have gone to great extremes to retain their youth. But as children of God, we have a better and surer way: Simply believe right, and we will see our youth renewed! Join Joseph Prince as he shares from Scripture how to walk by faith and enjoy the Lord’s promise of youth renewal in your life. Experience divine health and strength fill your body when you begin to: 


Fill your heart with faith pictures of youthfulness from God’s Word.

Speak forth what God says about you instead of what you see in yourself.

Stop speaking the world’s language of death and decay.

Grow in the same spirit of faith that Caleb from the Bible had, which caused him to receive power and boldness to walk in God’s purposes for him at 85 years old.


Start renewing your mind according to God’s infallible Word, and you’ll experience the same (or even greater) life and health than you had in the days of your youth!",https://www.josephprince.com/sermons/believe-right-and-see-your-youth-renewed?sku=20190512VJ
14,Practical Marriage And Relationship Truths ,8 May 2019,"Whether you’re married, in a relationship, or single, you’ll find practical and ever-relevant truths in this message that will shed light on your season and situation. Follow Joseph Prince as he shares powerful yet seldom talked-about biblical truths that will help you walk more and more in the happy and healthy marriage or relationship that God has for you. Learn how you can:


Cultivate qualities that make you attractive, regardless of your looks or age.
Build a strong and loving marriage that lasts.
Avoid costly pitfalls that will cause your marriage and relationships to suffer.
Find—and become—a godly life partner.


Beloved, only God can give you the successful marriage you’ve been looking for. Take this exciting journey into the Scriptures and discover God’s secrets for flourishing relationships!",https://www.josephprince.com/sermons/practical-marriage-and-relationship-truths?sku=20190508VJ
15,Believe Right And See Good ,5 May 2019,"What you believe is more powerful than you think. What you believe can change your life! This is a message on faith as you’ve never heard it before. If you haven’t been seeing breakthroughs in your life, let Joseph Prince show you from Scripture how you only need to use your faith for one thing—and the victory you’ve been waiting for will follow.


In this eye-opening message, discover how you can:

Live by faith and not by feelings.
Reign over sickness and every attack of the enemy.
Access the power of God that breaks bondages and bad habits.
See God’s supply for all your needs by believing and speaking according to His Word.


Beloved, see the good you’ve been hoping for when you begin to believe and speak God’s truth into your life!",https://www.josephprince.com/sermons/believe-right-and-see-good?sku=20190505VJ
16,The Key To Live Blessed ,28 April 2019,"We all want to live the blessed life—enjoying family relationships, robust health, peace, joy, and meaning. So what stops us from experiencing all these blessings? In this foundational message by Joseph Prince, discover what hinders you from living your best life and the key that unlocks all that God has in store for you. Learn how you can:


Uproot wrong beliefs and see God’s supply of health, provision, and emotional well-being flow into your life like never before.

Watch addictions and afflictions fall away effortlessly.

Experience God’s transforming power that restores your marriage and causes your children to experience peace and good success.


Child of God, don’t settle for a life of defeat. Let this message propel you into the blessed life that is rightfully yours in Christ!",https://www.josephprince.com/sermons/the-key-to-live-blessed?sku=20190428VJ
17,The Best News You’ll Ever Hear ,21 April 2019,"In this Resurrection Sunday message, hear the best piece of news that will bring overflowing peace and joy to your heart! You’ll find that you have every reason to celebrate when you learn what really happened at the cross and what Jesus’ resurrection from the grave means for you today. The liberating truths shared in this message will help you:



Walk in all of God’s blessings that are rightfully yours because of the divine exchange at Calvary.

Experience robust peace when you discover how completely forgiven you are in Christ.

Receive your healing as you depend on His compassion and willingness to heal you.

Live the abundant life that’s filled with hope for a good future.


Beloved, the good news of Jesus’ death and resurrection is not just a notable moment in history— it has the power to change your life. Will you believe it today?",https://www.josephprince.com/sermons/the-best-news-youll-ever-hear?sku=20190421VJ
18,Positioned For His Provision ,14 April 2019,"Economic turmoil. Scarce resources. A time of global distress. While the world’s future may seem bleak, God has positioned His children to receive divine provision for their every need! Let Joseph Prince show you from God’s Word that it is in such a time as this that the Lord will cause you and your family to experience His supernatural supply. In this sermon, you’ll see how you can:


Be set free from the fear of lack when you discover God’s promises to provide for you and your loved ones.

Receive practical wisdom from Scripture to manage your finances and raise healthy, godly children.

Experience God’s practical supply so that you can be a blessing to those in need.

Live life untroubled about the future when you understand Bible prophecy about the times we’re living in.


Beloved, lean on the Lord and His unfailing promise to care for you, and you’ll be a walking testimony for His glory in these last days!",https://www.josephprince.com/sermons/positioned-for-his-provision?sku=20190414VJ
19,Secrets Of Jesus Hidden In The Tribes Of Israel—Part 2 ,7 April 2019,"Find deliverance and strength as you unlock truths about Jesus hidden in the tribes of Israel! Join Joseph Prince in Part 2 of this exciting study as he reveals Bible prophecy from the blessings of the tribes of Judah, Benjamin, and Zebulun. See how each prophecy reflects a glimpse of Jesus’ ministry on earth and be encouraged in knowing that His love remains constant for you today. You’ll be blessed as you also learn how you can:


Speak forth your God-given breakthroughs and see them come to pass.

Live fearlessly when you see how God has a bright future prepared for you.

Experience your miracle as you begin to lift up praises to Him.

Be filled with peace and hope as you see how much He wants to provide for all your needs—spirit, soul, and body.


Be transformed from glory to glory as you get a fresh encounter with the One who loves you!",https://www.josephprince.com/sermons/secrets-of-jesus-hidden-in-the-tribes-of-israel-part-2?sku=20190407VJ
20,Secrets Of Jesus Hidden In The Tribes Of Israel ,31 March 2019,"See beautiful secrets about Jesus revealed in this study of the tribes of Israel! As you join Joseph Prince on this exciting journey through Bible prophecy, you’ll discover that seeing Jesus in the Word is the most practical solution for all of your troubles. Learn how you can:


Leave despair and depression behind when you behold Jesus.

Receive your healing when you see how willing He is to provide your miracle.

Experience revival and restoration when you encounter His life-giving presence.

Live with renewed hope when you see how He turns your defeats into victories.


As you see the different facets of Jesus and His heart of love for you, you’ll begin to experience the breakthroughs you need in your life!",https://www.josephprince.com/sermons/secrets-of-jesus-hidden-in-the-tribes-of-israel?sku=20190331VJ
21,The Healing Power Of The Holy Communion ,24 February 2019,"Sickness. Suffering. Premature aging and death.


When the world offers no lasting solutions for the human condition, God has given us a powerful gift to escape the ills of humanity. In this bondage-breaking message, Joseph Prince shows you from Scripture how you can break free from mankind’s curse through the Holy Communion! Experience a supernaturally healthy life as you begin to:


See God’s heart for His children to walk in divine health and wholeness.

Understand what it means to “partake worthily” of the Lord’s Supper.

Focus on the finished work of Jesus and stop worrying about your level of faith.

Discover how simple, practical and accessible God’s delivery system of healing is. 


Beloved, take up the invitation to partake of this divine meal. You’ll find yourself healthier, stronger, and younger in the days to come!",https://www.josephprince.com/sermons/the-healing-power-of-the-holy-communion?sku=20190224VJ
22,Find Answers In Your Darkest Times ,17 February 2019,"In a world where we’re bombarded by contradictory opinions and fake news, where can we find real answers to real problems?

The church.

As Joseph Prince teaches on the early church, you’ll see God’s heart for believers to come together, break bread, and find the answers we need. In this eye-opening message, you’ll discover from Scripture how you can:


Come under divine protection and covering when you are part of a church community.

See success and healing breakthroughs when you partake of the Communion together.

Experience God’s guidance and direction through the preached Word.

Be accepted and embraced even if you have fallen away from the church.


Beloved, in a world that so desperately needs solutions, you can receive God’s answers and blessings for your life in His house!",https://www.josephprince.com/sermons/find-answers-in-your-darkest-times?sku=20190217VJ
23,Be Led By His Anointing And Win ,27 January 2019,"Go from ordinary to extraordinary when you’re led by the anointing of the Holy Spirit! Whether you’re a homemaker, a business owner, or just starting out in your career, you can supersede your natural limitations by following the Spirit who lives in you. In this message, discover how being guided by the Spirit will cause you to:


Receive divine insights and answers that go beyond your experience and expertise.

Do and say the right thing at the right time and see supernatural results.

See breakthroughs in your marriage and parenting and enjoy a blessed family life.

Tap into God’s wisdom for your business and finances.


Beloved, learn how you can flow in the same anointing our Lord Jesus walked in when He was on earth and experience divine results in every area of your life!",https://www.josephprince.com/sermons/be-led-by-his-anointing-and-win?sku=20190127VJ
24,His Lavish Love Exceeds Your Expectations ,20 January 2019,"If you think you know how much God loves you, think again. 

As Joseph Prince reveals God’s lavish ways of forgiving and restoring you through the 3 famous parables of the lost sheep, the lost coin, and the lost son, you’ll find that His love exceeds all your expectations! In this message, discover how the more you understand the Lord’s compassion and grace toward you, the more you will:

Experience new levels of joy and peace.
Overflow with love and good works toward others.
Effortlessly break free from bad habits and be a glorious testimony.
Be led by the Spirit in everything you do.
Grow in your walk with God.

Beloved, know that you are loved beyond measure and begin to experience the fullness of God’s blessings come to pass in your life!",https://www.josephprince.com/sermons/his-lavish-love-exceeds-your-expectations?sku=20190120VJ
25,A Fresh Revelation Of The Communion Brings Healing ,13 January 2019,"Don’t miss out on God’s way of dispensing healing and health to His children today. Catch a fresh revelation of how the Holy Communion is not just a church tradition or ritual, but God’s way for you to receive the healing that Jesus paid dearly for at the cross! In this powerful, faith-building sermon, Joseph Prince reveals:


The depth of God’s love for you and His desire to see you healthy and strong.

How much Jesus suffered at the cross so that you can be healed today.

How partaking of the Communion with a revelation of Jesus’ broken body will cause you to get healthier day by day.

How to partake of the Communion with your loved ones and see God’s healing power manifest in their lives.


As you discover afresh the significance of the Communion and hear testimonies of people healed of incurable diseases, you’ll be inspired to start partaking and receiving your healing too!",https://www.josephprince.com/sermons/a-fresh-revelation-of-the-communion-brings-healing?sku=20190113VJ
26,Release The Blessings Of The Latter Rain ,6 January 2019,"2019 is the year of the latter rain! Get ready to experience a downpour of God’s manifested blessings in your life. If you’ve been waiting on the Lord for a breakthrough, this is the year you can look forward to receiving your miracle. 

In this Vision Sunday message, you’ll see how the season of the latter rain in the Bible represents an unprecedented outpouring of God’s blessings on His people. Discover key truths that will ignite your faith to receive: 


Supernatural healing, wholeness, and renewal your youth.
An increase of divine anointing that brings good success in every area of life.
Family blessings and glorious days of heaven on earth.
Restoration for all the years the enemy has stolen.


Let hope rise in your heart as you align yourself with God’s special word for this season. You can expect to receive a bountiful harvest of blessings from Him this 2019!


Download these wallpapers:

",https://www.josephprince.com/sermons/release-the-blessings-of-the-latter-rain?sku=20190106VJ
27,Believe His Love And Receive All Blessings ,30 December 2018,"What’s the key to experiencing Jesus’ miracle-working power in your life? Go beyond knowing that God loves you to really believing it. Join Joseph Prince as he reveals God’s greatest demonstration of His unfailing love for you—Jesus at the cross—and find all the assurance you need to believe that God is for you and wants to bless you.


The more His love sinks into your heart, the more you will:

Receive divine healing and walk in robust health.
Break free from fear, worry, and anxiety about the future.
See His abundant provision in areas of lack.
Experience restoration for all your losses.

Live life confident of your heavenly Father’s compassion and favor, and experience a harvest of blessings like you’ve never seen before!",https://www.josephprince.com/sermons/believe-his-love-and-receive-all-blessings?sku=20181230VJ
28,The Christmas Story—From Creation To The Cross ,23 December 2018,"The story of Christ being born has been told every Christmas season for generations. Yet behind the familiar nativity scene, God had been planning this epic love story of sending His Son to save mankind from the beginning of time. Beloved, saving you from your sins wasn’t just an afterthought, but at the forefront of His mind! In this Christmas message, you will:


Experience God’s everlasting love as you see His redemption plan unfold.
Say goodbye to fear as you see how God is always one step ahead of the enemy’s attacks.
Be filled with hope as you see how God works everything together for good.


This Christmas season, may you catch a fresh revelation of how precious you are to the Lord and how He will never give up on you!",https://www.josephprince.com/sermons/the-christmas-story-from-creation-to-the-cross?sku=20181223VJ
29,Dare To Pray Bold Prayers ,18 November 2018,"Have you ever felt like you’re not good enough for God to answer your prayers? Or felt like you don’t know how to pray “the right way”? Let God’s Word debunk the myth that you have to be completely perfect and eloquent before God hears and answers your requests. As Joseph Prince expounds on the high priest in the Old Testament, you’ll see how you can:


Come boldly to God just as you are, without the barriers of fear and condemnation.
Pray honestly and openly from your heart when you are established in your identity in Christ.
Understand what it really means to pray “in Jesus’ name” and experience results.


Beloved, step into God’s presence with full confidence and start praying bold prayers knowing that they reach Heaven’s throne!",https://www.josephprince.com/sermons/dare-to-pray-bold-prayers?sku=20181118VJ
30,True Prosperity In Every Area ,11 November 2018,"When you hear the word “prosperity,” what comes to mind? Riches? Success? Greed? But what does the Bible really say about prosperity? Discover from Scripture how true prosperity from God gives you a glorious family life, robust peace despite life’s challenges, godly wisdom to make good decisions, and allows you to be a blessing to those around you.


In this message, discover practical keys that will help you:

Experience fruitfulness in your career while staying stress-free and healthy.
Find joy and fulfillment in your marriage, family, and relationships.
Live life loved and provided for by your heavenly Father.


Beloved, you’ll be a glorious testimony who brings others to Christ when you experience true prosperity—God’s way!",https://www.josephprince.com/sermons/true-prosperity-in-every-area?sku=20181111VJ
31,How To Pray And See Results ,4 November 2018,"What’s the key to praying powerful prayers that bring results? In this eye-opening message by Joseph Prince, discover what the Bible really says about praying earnest prayers. See why you can boldly declare the truth of God’s Word over your situation and expect to see your breakthroughs come to pass. Through the story of the Prophet Elijah and his victory at Mount Carmel, find out how you can:


Pray effective prayers with the right posture of faith 
Pray accurately according to the Word of God and the new covenant
Be bold to step out and pray for others, knowing that God hears your prayers


Beloved, experience victory in your prayer life as you align yourself with the truth of Jesus’ finished work!",https://www.josephprince.com/sermons/how-to-pray-and-see-results?sku=20181104VJ
32,Sing The Psalms Of David—A Worship Experience With Joseph Prince ,24 October 2018,"Be refreshed and lifted out of the pit of discouragement with this special worship experience led by Joseph Prince and the worship team from New Creation Church! In this one-of-a-kind service, you’ll be ushered into the powerful presence of God with the anointed psalms of David—the sweet psalmist of Israel. Your fears and worries will melt away as you come to the Good Shepherd, our Lord Jesus, who cares for you and wants to love you into wholeness. Beloved, get ready to be personally ministered to as you join many others in praising Him!",https://www.josephprince.com/sermons/sing-the-psalms-of-davida-worship-experience-with-joseph-prince_pH0?sku=201810242VJ
33,Inherit God’s Best—Don’t Settle For Less ,21 October 2018,"Do you know the one thing that prevents you from inheriting all of God’s promises?

Beloved, the Lord wants you to inherit every blessing He paid for at the cross, and He doesn’t want you settling for less! Begin to experience days of heaven on earth as you listen to this message and learn truths that will help you:


Understand what robs you of the fullness of God’s blessings in your life.

Avoid costly pitfalls that will compromise your peace, well-being, and health.

Walk in God’s plans and purposes for your family, relationships, and career.


Don’t look at what you see in the natural. Instead, keep your eyes on God’s infallible Word, and you won’t miss out on His goodness overflowing in your life!",https://www.josephprince.com/sermons/inherit-gods-best-dont-settle-for-less?sku=20181021VJ
34,Boldness To Inherit Every Blessing ,14 October 2018,"Would you like to know how you can inherit every blessing that God has for you? In this message by Joseph Prince, see how God is pleased when you come to Him with a spirit of bold faith—even when the odds don’t seem to be in your favor! Through an exciting study of the lesser-known Bible story of the daughters of Zelophehad, discover how you can:


Rid yourself of the labels of disqualification and receive what’s rightfully yours through Jesus’ finished work.

Cultivate a spirit of bold faith to dare to ask God for big things.

Go from faithlessness to fruitfulness when you see God’s heart for you.



Beloved, you don’t have to settle for less when you know the One whose heart is to bless you with more than you can ask or imagine!",https://www.josephprince.com/sermons/boldness-to-inherit-every-blessing?sku=20181014VJ
35,Believe He Wants To Heal And Provide ,30 September 2018,"Are you or your loved ones facing sickness or lack? Beloved, doubt no more that Jesus wants to heal and provide for your every need. In this faith-building message by Joseph Prince, you’ll discover our loving Savior’s heart for you to possess every blessing that He paid for at the cross. Learn how you can:


Have a spirit of faith and receive your breakthroughs.
Practically walk in divine health and provision for all your needs.
Keep your eyes on Jesus and experience restoration for your losses.



Have every doubt about God’s willingness to bless you disappear when you realize how much He loves you and wants to care for you today!",https://www.josephprince.com/sermons/believe-he-wants-to-heal-and-provide?sku=20180930VJ
36,The Key To Robust Faith ,23 September 2018,"Would you like to have robust faith to receive every God-given blessing in your life? God has a key for us to unlock powerful faith that brings every breakthrough we need! Join Joseph Prince as he shows you from Scripture how you can begin to tap into God’s unlimited supply for every situation. Discover truths that will help you:


Break down the enemy’s strongholds on you and see complete victory.
Grow in the faith that pleases God and experience a strength that goes beyond age.
Live with overflowing joy and hope for the future.



It’s time to stand firm on God’s promises for you and live the overcoming life that He meant for you to live!",https://www.josephprince.com/sermons/the-key-to-robust-faith?sku=20180923VJ
37,Give Me This Mountain! ,9 September 2018,"You might be familiar with the story of Caleb—one of the twelve spies who spied out the Promised Land—and how he boldly proclaimed, “Give me this mountain!” How can we, like Caleb, have a spirit of unstoppable faith? In this message, discover how you can carry a victorious attitude and expect to walk in God’s promises of health, family blessings, and much more in Christ. Learn how you can:



Possess every blessing that God has given you as your inheritance.

Stand firm on God’s promises and live the life of an overcomer.

Remain healthy, strong, and youthful all the days of your life. 



The more you know your position and inheritance as a child of God, the more you will rise up with boldness to claim the blessings that are rightfully yours!",https://www.josephprince.com/sermons/give-me-this-mountain?sku=20180909VJ
38,God’s Plan To Prosper You In The End Times ,26 August 2018,"In a world where we’re constantly bombarded by discouraging reports of lack and crises, God wants you to know that He has a plan to provide for you and your family—through the divine principle of the tithe. Join Joseph Prince as he reveals scriptural, new-covenant truths about tithing and answers questions about this often-misunderstood topic. Discover how you can: 


Break free from the cycle of lack in your life and be a blessing to those around you.

See your family constantly cared for and supplied even in these uncertain times. 

Live confident of a bright future as you begin to follow this godly principle. 


Beloved, as you tithe out of a revelation of God’s heart of love toward you and not out of obligation, you’ll begin to experience lasting stability and hope even as the world gets darker!",https://www.josephprince.com/sermons/gods-plan-to-prosper-you-in-the-end-times?sku=20180826VJ
39,Draw The Blood Line Of Protection ,19 August 2018,"How do we stay safe, protected and hopeful in these increasingly dark times? God has a powerful weapon against the dangers of this world. In this message, Joseph Prince shares how the blood of Jesus keeps you and your loved ones from harm. You’ll discover how you can: 


Experience divine protection and deliverance for your family.
Stay faith-filled and confident in God’s promises for your future.
See your marriage and children flourish despite the pressures of the world.


Beloved, draw the blood line of protection around yourself and your household and see supernatural provision and deliverance in times of need!",https://www.josephprince.com/sermons/draw-the-blood-line-of-protection?sku=20180819VJ
40,"Live Long, Live Strong ",12 August 2018,"Do you have faith to believe that robust health, protection, and long life can be your portion as a child of God? Let this sermon encourage you in God’s Word and in His promises of a bright future. Join Joseph Prince as he reveals your heavenly Father&#039;s heart for you to live a long, fulfilling life with sustained health and strength. Discover:


How God’s blessing of longevity is your blood-bought right as a believer.
The revelation that will cause you to live long and see many good days.
4 practical keys from God’s Word to walk in divine health and vitality.


Beloved, because of Jesus’ finished work at the cross, you have a righteous foundation for living long and strong!",https://www.josephprince.com/sermons/live-long-live-strong?sku=20180812VJ
41,The Spirit-Active Life—How To Make Spirit-Led Decisions ,5 August 2018,"Ever wondered how to hear the voice of God and make Spirit-led decisions? 


In this message, Joseph Prince shares practical keys on how you can accurately follow the leading of the Holy Spirit and step into the blessings and breakthroughs that God has prepared for you. Discover how you can:


Follow the promptings of the Spirit in daily life and begin to flourish.

Let the Spirit guide you through every trial you’re facing.

Be placed at the right place at the right time to be a blessing to others.



Beloved, live a spirit-active life and become a walking testimony of His grace and glory!",https://www.josephprince.com/sermons/the-spirit-active-life-how-to-make-spirit-led-decisions?sku=20180805VJ
42,Practical Leadership Keys To Living Holy ,29 July 2018,"Pastors and leaders, we all want our congregation to live lives that glorify God. But how do we practically help them do it? In this message, learn biblical keys on how you can lead your people to experience wholeness in their marriages and families, freedom from bondages and addictions, and protection from the darkness in this world. Discover:


• 	What causes people to break free from the chains of bitterness and sexual immorality.

• 	How you can inspire and cultivate godly character and values in people.

• 	How you can see your ministry flourish when you prioritize the gospel of grace.


Let the truths shared in this powerful message cause your church to experience the victorious lives they were meant to live!",https://www.josephprince.com/sermons/practical-leadership-keys-to-living-holy?sku=20180729VJ
43,Godly Discipline And Correction Brings Promotion ,22 July 2018,"Most people don’t like hearing the words “discipline” or “correction.” But did you know that when our heavenly Father disciplines or corrects us, He is leading us to a place of promotion? While He never uses sickness or accidents to discipline us, He does use frustrating situations, missed opportunities, and difficult people to build our character and set us up for lasting success!

Join Joseph Prince and discover how, as a child of God, you can:

• 	Expect to come out stronger and wiser after every difficult situation. 
• 	Face your challenges with boldness when you trust in His love for you. 
• 	Learn practical keys on parenting and leadership from Scripture. 

Beloved, no matter what challenges you may be facing today, know that God is working all things out for your good and developing you into the person He created you to be!",https://www.josephprince.com/sermons/godly-discipline-and-correction-brings-promotion?sku=20180722VJ
